x,y,z,n_valid_orientations / 100
0.3125,0.0,0.693877551020408,8
0.3125,0.0,0.7244897959183674,10
0.3125,0.0,0.7551020408163265,6
0.3125,0.0,0.7857142857142856,1
0.3125,0.0,0.8163265306122449,0
0.3125,0.0,0.846938775510204,0
0.3125,0.0,0.8775510204081631,0
0.3125,0.0,0.9081632653061225,0
0.3125,0.0,0.9387755102040816,0
0.3125,0.0,0.9693877551020407,0
0.3125,0.0,1.0,0
0.34375,0.0,-0.5,0
0.34375,0.0,-0.46938775510204084,0
0.34375,0.0,-0.4387755102040816,0
0.34375,0.0,-0.40816326530612246,0
0.34375,0.0,-0.37755102040816324,0
0.34375,0.0,-0.3469387755102041,0
0.34375,0.0,-0.3163265306122449,0
0.34375,0.0,-0.2857142857142857,0
0.34375,0.0,-0.25510204081632654,0
0.34375,0.0,-0.22448979591836737,0
0.34375,0.0,-0.19387755102040816,0
0.34375,0.0,-0.163265306122449,4
0.34375,0.0,-0.13265306122448983,8
0.34375,0.0,-0.10204081632653061,8
0.34375,0.0,-0.07142857142857145,12
0.34375,0.0,-0.040816326530612235,11
0.34375,0.0,-0.010204081632653073,8
0.34375,0.0,0.020408163265306145,15
0.34375,0.0,0.05102040816326525,11
0.34375,0.0,0.08163265306122447,5
0.34375,0.0,0.11224489795918369,6
0.34375,0.0,0.1428571428571428,11
0.34375,0.0,0.173469387755102,8
0.34375,0.0,0.20408163265306123,8
0.34375,0.0,0.23469387755102034,8
0.34375,0.0,0.26530612244897955,4
0.34375,0.0,0.29591836734693877,3
0.34375,0.0,0.326530612244898,11
0.34375,0.0,0.3571428571428571,6
0.34375,0.0,0.3877551020408163,6
0.34375,0.0,0.41836734693877553,6
0.34375,0.0,0.44897959183673464,10
0.34375,0.0,0.47959183673469385,11
0.34375,0.0,0.510204081632653,10
0.34375,0.0,0.5408163265306123,7
0.34375,0.0,0.5714285714285714,13
0.34375,0.0,0.6020408163265305,10
0.34375,0.0,0.6326530612244898,6
0.34375,0.0,0.6632653061224489,10
0.34375,0.0,0.693877551020408,4
0.34375,0.0,0.7244897959183674,5
0.34375,0.0,0.7551020408163265,5
0.34375,0.0,0.7857142857142856,0
0.34375,0.0,0.8163265306122449,0
0.34375,0.0,0.846938775510204,0
0.34375,0.0,0.8775510204081631,0
0.34375,0.0,0.9081632653061225,0
0.34375,0.0,0.9387755102040816,0
0.34375,0.0,0.9693877551020407,0
0.34375,0.0,1.0,0
0.375,0.0,-0.5,0
0.375,0.0,-0.46938775510204084,0
0.375,0.0,-0.4387755102040816,0
0.375,0.0,-0.40816326530612246,0
0.375,0.0,-0.37755102040816324,0
0.375,0.0,-0.3469387755102041,0
0.375,0.0,-0.3163265306122449,0
0.375,0.0,-0.2857142857142857,0
0.375,0.0,-0.25510204081632654,0
0.375,0.0,-0.22448979591836737,0
0.375,0.0,-0.19387755102040816,0
0.375,0.0,-0.163265306122449,1
0.375,0.0,-0.13265306122448983,3
0.375,0.0,-0.10204081632653061,8
0.375,0.0,-0.07142857142857145,13
0.375,0.0,-0.040816326530612235,8
0.375,0.0,-0.010204081632653073,10
0.375,0.0,0.020408163265306145,14
0.375,0.0,0.05102040816326525,8
0.375,0.0,0.08163265306122447,11
0.375,0.0,0.11224489795918369,6
0.375,0.0,0.1428571428571428,8
0.375,0.0,0.173469387755102,11
0.375,0.0,0.20408163265306123,8
0.375,0.0,0.23469387755102034,5
0.375,0.0,0.26530612244897955,7
0.375,0.0,0.29591836734693877,9
0.375,0.0,0.326530612244898,3
0.375,0.0,0.3571428571428571,7
0.375,0.0,0.3877551020408163,11
0.375,0.0,0.41836734693877553,7
0.375,0.0,0.44897959183673464,6
0.375,0.0,0.47959183673469385,7
0.375,0.0,0.510204081632653,3
0.375,0.0,0.5408163265306123,10
0.375,0.0,0.5714285714285714,13
0.375,0.0,0.6020408163265305,10
0.375,0.0,0.6326530612244898,5
0.375,0.0,0.6632653061224489,6
0.375,0.0,0.693877551020408,10
0.375,0.0,0.7244897959183674,6
0.375,0.0,0.7551020408163265,0
